symbol,name,category
STETH-USD,Lido Staked ETH USD,crypto
DOGE-USD,Dogecoin USD,crypto
HEX-USD,HEX USD,crypto
MATIC-USD,-,crypto
SOL-USD,Solana USD,crypto
WTRX-USD,Wrapped TRON USD,crypto
DOT-USD,Polkadot USD,crypto
LTC-USD,-,crypto
TRX-USD,TRON USD,crypto
BUSD-USD,Binance USD USD,crypto
SHIB-USD,Shiba Inu USD,crypto
AVAX-USD,Avalanche USD,crypto
DAI-USD,Dai USD,crypto
WBTC-USD,Wrapped Bitcoin USD,crypto
LINK-USD,-,crypto
LEO-USD,-,crypto
ATOM-USD,Cosmos USD,crypto
UNI7083-USD,Uniswap USD,crypto
XMR-USD,Monero USD,crypto
OKB-USD,OKB USD,crypto
ETC-USD,Ethereum Classic USD,crypto
TON11419-USD,Toncoin USD,crypto
TUSD-USD,TrueUSD USD,crypto
